x	y
-6.2	-917.952
-6.16666666666667	-901.185185185185
-6.13333333333333	-884.596148148148
-6.1	-868.184
-6.06666666666667	-851.947851851852
-6.03333333333333	-835.886814814815
-6	-820
-5.96666666666667	-804.286518518519
-5.93333333333333	-788.745481481482
-5.9	-773.376
-5.86666666666667	-758.177185185186
-5.83333333333333	-743.148148148149
-5.8	-728.288
-5.76666666666667	-713.595851851852
-5.73333333333333	-699.070814814815
-5.7	-684.712
-5.66666666666667	-670.518518518519
-5.63333333333333	-656.489481481482
-5.6	-642.624
-5.56666666666667	-628.921185185185
-5.53333333333333	-615.380148148148
-5.5	-602
-5.46666666666667	-588.779851851852
-5.43333333333333	-575.718814814815
-5.4	-562.816
-5.36666666666667	-550.070518518519
-5.33333333333333	-537.481481481482
-5.3	-525.048
-5.26666666666667	-512.769185185185
-5.23333333333333	-500.644148148148
-5.2	-488.672
-5.16666666666667	-476.851851851852
-5.13333333333333	-465.182814814815
-5.1	-453.664
-5.06666666666667	-442.294518518518
-5.03333333333333	-431.073481481481
-5	-420
-4.96666666666667	-409.073185185185
-4.93333333333333	-398.292148148148
-4.9	-387.656
-4.86666666666667	-377.163851851852
-4.83333333333333	-366.814814814815
-4.8	-356.608
-4.76666666666667	-346.542518518518
-4.73333333333333	-336.617481481482
-4.7	-326.832
-4.66666666666667	-317.185185185185
-4.63333333333333	-307.676148148148
-4.6	-298.304
-4.56666666666667	-289.067851851852
-4.53333333333333	-279.966814814815
-4.5	-271
-4.46666666666667	-262.166518518519
-4.43333333333333	-253.465481481482
-4.4	-244.896
-4.36666666666667	-236.457185185185
-4.33333333333333	-228.148148148148
-4.3	-219.968
-4.26666666666667	-211.915851851852
-4.23333333333333	-203.990814814815
-4.2	-196.192
-4.16666666666667	-188.518518518519
-4.13333333333333	-180.969481481482
-4.1	-173.544
-4.06666666666667	-166.241185185185
-4.03333333333333	-159.060148148148
-4	-152
-3.96666666666667	-145.059851851852
-3.93333333333333	-138.238814814815
-3.9	-131.536
