colour	x	xend	y	yend	showSelected1
#0000FF	7.15	7.15	0	1020.8685	vertical
#FF0000	7.15	5.09870396045572	1020.8685	0	tangent
#0000FF	5.09870396045572	5.09870396045572	0	301.257771655632	vertical
#FF0000	5.09870396045572	3.73416935273903	301.257771655632	0	tangent
#0000FF	3.73416935273903	3.73416935273903	0	92.5881347163636	vertical
#FF0000	3.73416935273903	2.73341363248841	92.5881347163636	0	tangent
#0000FF	2.73341363248841	2.73341363248841	0	34.8596379542663	vertical
#FF0000	2.73341363248841	1.4354722917764	34.8596379542663	0	tangent
#0000FF	1.4354722917764	1.4354722917764	0	36.4039730458667	vertical
#FF0000	1.4354722917764	3.05352020160532	36.4039730458667	0	tangent
#0000FF	3.05352020160532	3.05352020160532	0	46.3343940424463	vertical
#FF0000	3.05352020160532	2.02945577628285	46.3343940424463	0	tangent
#0000FF	2.02945577628285	2.02945577628285	0	27.8389851402823	vertical
#FF0000	2.02945577628285	7.67724774489662	27.8389851402823	0	tangent
#0000FF	7.67724774489662	7.67724774489662	0	1100	vertical
#FF0000	7.67724774489662	5.44530129699045	1100	0	tangent
#0000FF	5.44530129699045	5.44530129699045	0	384.57430856038	vertical
#FF0000	5.44530129699045	3.96885000308608	384.57430856038	0	tangent
#0000FF	3.96885000308608	3.96885000308608	0	116.489532986591	vertical
#FF0000	3.96885000308608	2.92311647068708	116.489532986591	0	tangent
#0000FF	2.92311647068708	2.92311647068708	0	40.9464062233739	vertical
#FF0000	2.92311647068708	1.82998570024957	40.9464062233739	0	tangent
#0000FF	1.82998570024957	1.82998570024957	0	29.5207163570853	vertical
#FF0000	1.82998570024957	4.33733900154008	29.5207163570853	0	tangent
#0000FF	4.33733900154008	4.33733900154008	0	163.389698935583	vertical
#FF0000	4.33733900154008	3.20033572326146	163.389698935583	0	tangent
#0000FF	3.20033572326146	3.20033572326146	0	53.650293855243	vertical
#FF0000	3.20033572326146	2.21595838248707	53.650293855243	0	tangent
#0000FF	2.21595838248707	2.21595838248707	0	27.5840216064823	vertical
#FF0000	2.21595838248707	-9.60158827593718	27.5840216064823	0	tangent
#0000FF	-9.60158827593718	-9.60158827593718	0	-1100	vertical
#FF0000	-9.60158827593718	-6.47462192303436	-1100	0	tangent
#0000FF	-6.47462192303436	-6.47462192303436	0	-1062.96920183579	vertical
#FF0000	-6.47462192303436	-4.54456223400491	-1062.96920183579	0	tangent
#0000FF	-4.54456223400491	-4.54456223400491	0	-283.017618006718	vertical
#FF0000	-4.54456223400491	-3.50547470713325	-283.017618006718	0	tangent
#0000FF	-3.50547470713325	-3.50547470713325	0	-60.8719177666216	vertical
#FF0000	-3.50547470713325	-3.12389462686844	-60.8719177666216	0	tangent
#0000FF	-3.12389462686844	-3.12389462686844	0	-6.77628943272134	vertical
#FF0000	-3.12389462686844	-3.06950650453875	-6.77628943272134	0	tangent
