x	y	label	key	showSelected1
0.5	800	Current root: 7.15	1	1
0.5	800	Current root: 5.0987	2	2
0.5	800	Current root: 3.73417	3	3
0.5	800	Current root: 2.73341	4	4
0.5	800	Current root: 1.43547	5	5
0.5	800	Current root: 3.05352	6	6
0.5	800	Current root: 2.02946	7	7
0.5	800	Current root: 7.67725	8	8
0.5	800	Current root: 5.4453	9	9
0.5	800	Current root: 3.96885	10	10
0.5	800	Current root: 2.92312	11	11
0.5	800	Current root: 1.82999	12	12
0.5	800	Current root: 4.33734	13	13
0.5	800	Current root: 3.20034	14	14
0.5	800	Current root: 2.21596	15	15
0.5	800	Current root: -9.60159	16	16
0.5	800	Current root: -6.47462	17	17
0.5	800	Current root: -4.54456	18	18
0.5	800	Current root: -3.50547	19	19
0.5	800	Current root: -3.12389	20	20
