y	x	xmin	xmax	clickSelects
3.00896980339698	1	0.5	1.5	1
2.47893825937918	2	1.5	2.5	2
1.96655533487439	3	2.5	3.5	3
1.54232287229546	4	3.5	4.5	4
1.5611487841363	5	4.5	5.5	5
1.66590348772526	6	5.5	6.5	6
1.44465339918533	7	6.5	7.5	7
3.11595441016214	8	7.5	8.5	8
2.58498026788181	9	8.5	9.5	9
2.066286904157	10	9.5	10.5	10
1.61221579069111	11	10.5	11.5	11
1.47012689197737	12	11.5	12.5	12
2.21322467253633	13	12.5	13.5	13
1.72957210504122	14	13.5	14.5	14
1.44065758432633	15	14.5	15.5	15
3.57121908761366	16	15.5	16.5	16
3.02652068158206	17	16.5	17.5	17
2.45181347144282	18	17.5	18.5	18
1.78441698439374	19	18.5	19.5	19
0.83099194755129	20	19.5	20.5	20
